name,email,selectedCategories,brands,priceRanges,uniqueLink
nitish reddy,nit00fdd@gmail.com,"[""mobile"",""laptop"",""tv"",""sound""]","[""apple"",""samsung"",""micromax"",""hitachi"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",18a2d3ae-9355-441f-adc1-2f06afc5b006
maheshs,mah200ixss@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",0886baba-2669-4ae2-887e-f43d72f9139e
maheshs,mah200icss@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",46ef7512-9506-47c3-84e6-c76c91ac7b2e
maheshs,mah200icssx@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",448a6074-387a-4959-a4ea-980502ba649b
maheshs,mah200icsskj@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",360853f7-a727-4e8a-920c-6a61379acb8b
maheshs,mah200icssks@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",03066c1d-dd36-4936-b597-54eaa9a52bb6
maheshs,mah200iclssks@gmail.com,"[""camera"",""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",2bdefd14-d104-4a94-b208-560d334a69af
ravi,rav200is@gmail.com,"[""camera""]",[],[],7b8924af-ed13-42dc-9043-238733151efe
jashu,jas0029wan@gmail.com,"[""camera""]",[],[],325353e0-b47a-478a-b7d7-7a6ee28d32af
manoj,manojjj@gmail.com,"[""camera""]",[],[],c7dea202-44cd-481f-b97c-23e14bb83ff1
manoj,manojjjs@gmail.com,"[""camera""]",[],[],6343f57a-4293-41cf-95d7-ba515f48e94b
manoj,manojjjsc@gmail.com,"[""camera""]",[],[],66563c6f-1c26-4571-979c-1c0c308ff8fa
manoj,manojjjscs@gmail.com,"[""camera""]",[],[],aab79dee-3978-463e-8af0-cb5bd82e27af
manoj,manojjjsdcs@gmail.com,"[""camera"",""mobile""]","[""samsung"",""oppo""]","[""20000-50000""]",26b8d07d-c940-4b8f-ad7a-d2fea9f80df6
manoj,manojjjxsdcs@gmail.com,"[""camera"",""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",233584b2-419d-4362-a944-a9a5ec598d3f
manoj,manojjjxsscdcs@gmail.com,"[""camera"",""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",24d9cdcc-3745-4503-971f-58e767d80083
manoj,manojjxjxsscdcs@gmail.com,"[""camera"",""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",47199dd0-969d-420c-a002-d26f8a48aaa8
manoj,manojxjxjxsscdcs@gmail.com,"[""camera"",""mobile""]","[""oppo""]","[""20000-50000"",""50000-999999""]",99450ce2-f269-459c-b2b2-c151d9698369
manoj,manojxjxjxssxcdcs@gmail.com,"[""camera"",""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",1b3c2415-eb6e-452f-8dce-e2f4e949b042
nitish reddy,nit00928ddde@gmail.com,"[""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",f6f70314-777c-4630-814b-fac350b6e75a
Adithya,aditya@gmail.com,"[""mobile""]","[""samsung"",""oppo""]",[],0573775b-a9c5-46f4-be78-21253048f070
Aravind,aravind@gmail.com,"[""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",c0b8134e-eb67-4e5a-94c2-c3eb88b026fa
jay,jay@gmail.com,"[""mobile""]","[""samsung""]",[],b6e7aa72-8f49-4994-b7f9-349eec20a15f
sanjay,sun@gmail.com,"[""mobile""]","[""samsung""]","[""10000-20000"",""20000-50000"",""50000-999999""]",42727bff-8b76-4918-9b85-b774564c42da
Adithya L,abbh20is@cmrit.ac.in,"[""mobile""]","[""samsung"",""oppo""]","[""20000-50000"",""50000-999999""]",a4f2900c-8d3f-451b-96c5-1bdddc1d4ea2
